accident_year,development_month,cumulative_paid,incremental_paid
2018,12,597356.37,597356.37
2018,24,947142.62,349786.24
2018,36,1233862.42,286719.8
2018,48,1424719.49,190857.07
2019,12,952133.14,952133.14
2019,24,1556179.96,604046.82
2019,36,2032672.35,476492.39
2019,48,2385085.33,352412.98
2020,12,1280804.98,1280804.98
2020,24,2086096.76,805291.78
2020,36,2720803.29,634706.53
2020,48,3152546.12,431742.83
2021,12,2270684.69,2270684.69
2021,24,3657686.78,1387002.1
2021,36,4766172.23,1108485.44
2021,48,5546465.85,780293.62
2022,12,1909261.56,1909261.56
2022,24,3080920.02,1171658.47
2022,36,4047890.77,966970.74
2022,48,4711980.14,664089.37
2023,12,1766000.62,1766000.62
2023,24,2922142.28,1156141.66
2023,36,3829741.22,907598.94
2023,48,4454825.85,625084.62
2024,12,2446605.61,2446605.61
2024,24,3948676.91,1502071.3
2024,36,5180809.58,1232132.67
2024,48,6011411.17,830601.59
