claim_id,policy_id,accident_year,report_delay_months,claim_type,litigation_flag,ultimate_loss
CLM00000001,POL000016,2023,5,BI,1,88096.3
CLM00000002,POL000025,2024,3,BI,1,2947.15
CLM00000003,POL000027,2021,20,PD,0,94703.94
CLM00000004,POL000029,2018,7,PD,0,3585.82
CLM00000005,POL000032,2022,5,BI,0,200
CLM00000006,POL000034,2024,5,PD,0,200
CLM00000007,POL000043,2022,1,PD,0,98468.62
CLM00000008,POL000046,2018,5,BI,0,25655.7
CLM00000009,POL000046,2020,5,BI,0,23066.87
CLM00000010,POL000047,2019,5,BI,0,38778.46
CLM00000011,POL000048,2021,2,BI,1,32062.76
CLM00000012,POL000050,2021,2,PD,0,200
CLM00000013,POL000052,2022,17,PD,0,36946.5
CLM00000014,POL000076,2024,17,BI,0,200
CLM00000015,POL000081,2021,3,BI,1,230
CLM00000016,POL000084,2023,20,PD,0,103267.48
CLM00000017,POL000089,2023,7,BI,0,200
CLM00000018,POL000099,2020,9,BI,1,549.64
CLM00000019,POL000099,2021,9,PD,0,10003.65
CLM00000020,POL000099,2021,5,PD,0,12837.19
CLM00000021,POL000105,2021,7,PD,0,2298.52
CLM00000022,POL000109,2022,17,BI,0,200
CLM00000023,POL000112,2022,4,PD,0,1282.44
CLM00000024,POL000115,2019,4,PD,0,38916.57
CLM00000025,POL000120,2020,2,PD,0,4478.95
CLM00000026,POL000127,2020,3,BI,0,9621.06
CLM00000027,POL000129,2021,8,BI,0,25949.32
CLM00000028,POL000130,2024,3,BI,0,98227.15
CLM00000029,POL000142,2024,3,BI,0,5193.68
CLM00000030,POL000142,2024,5,PD,0,36801.78
CLM00000031,POL000146,2023,8,PD,0,10609.32
CLM00000032,POL000155,2023,3,PD,0,11854.32
CLM00000033,POL000156,2024,6,BI,0,524.67
CLM00000034,POL000169,2021,2,BI,0,85189.85
CLM00000035,POL000170,2023,2,BI,1,25974.22
CLM00000036,POL000190,2023,2,PD,0,34529.33
CLM00000037,POL000193,2020,4,PD,0,200
CLM00000038,POL000199,2023,8,PD,0,88277.92
CLM00000039,POL000199,2024,5,PD,0,25187.83
CLM00000040,POL000202,2019,2,BI,1,4837.46
CLM00000041,POL000210,2022,2,PD,0,33579.23
CLM00000042,POL000214,2018,13,PD,0,3454.37
CLM00000043,POL000223,2018,11,PD,1,9677.75
CLM00000044,POL000227,2019,7,PD,0,4803.64
CLM00000045,POL000235,2020,7,BI,0,999.48
CLM00000046,POL000237,2020,8,BI,0,3060.88
CLM00000047,POL000253,2024,8,PD,0,7615.76
CLM00000048,POL000255,2018,7,PD,0,3321.58
CLM00000049,POL000265,2024,6,BI,0,200
CLM00000050,POL000271,2019,10,PD,0,4657.93
CLM00000051,POL000274,2024,5,PD,0,6263.18
CLM00000052,POL000278,2024,8,BI,1,43077.61
CLM00000053,POL000278,2024,7,BI,0,21530.47
CLM00000054,POL000287,2024,3,BI,0,4842.34
CLM00000055,POL000303,2022,7,PD,0,11741.35
CLM00000056,POL000311,2021,5,PD,0,200
CLM00000057,POL000324,2018,7,PD,0,12868.38
CLM00000058,POL000324,2020,8,PD,0,681.51
CLM00000059,POL000332,2020,3,BI,1,7389.68
CLM00000060,POL000340,2022,8,PD,0,7184.24
CLM00000061,POL000343,2021,15,PD,0,92459.78
CLM00000062,POL000347,2024,3,BI,0,1614.63
CLM00000063,POL000350,2023,13,PD,0,5164.92
CLM00000064,POL000351,2021,7,BI,0,28816.58
CLM00000065,POL000358,2020,7,PD,0,47049.68
CLM00000066,POL000368,2021,18,BI,0,50170.07
CLM00000067,POL000368,2021,4,BI,1,33142.38
CLM00000068,POL000371,2023,3,PD,0,45814.66
CLM00000069,POL000375,2023,3,PD,1,7650.43
CLM00000070,POL000382,2021,3,PD,0,4839.57
CLM00000071,POL000388,2020,4,PD,0,1404.03
CLM00000072,POL000393,2020,4,PD,1,915.62
CLM00000073,POL000409,2023,3,PD,0,55526.83
CLM00000074,POL000409,2024,6,BI,0,26515.52
CLM00000075,POL000410,2022,1,BI,0,30200.13
CLM00000076,POL000416,2020,2,PD,0,11172.59
CLM00000077,POL000420,2023,7,BI,0,17770.01
CLM00000078,POL000426,2020,18,PD,0,76236.1
CLM00000079,POL000434,2024,1,BI,0,200
CLM00000080,POL000439,2023,16,BI,0,7263.54
CLM00000081,POL000444,2019,10,BI,0,200
CLM00000082,POL000445,2019,7,PD,0,200
CLM00000083,POL000454,2019,6,PD,1,23330.1
CLM00000084,POL000459,2022,16,BI,0,2843.13
CLM00000085,POL000459,2023,5,BI,1,230
CLM00000086,POL000466,2020,4,BI,1,6009.48
CLM00000087,POL000478,2024,9,PD,0,542.3
CLM00000088,POL000481,2018,4,PD,0,73481.78
CLM00000089,POL000484,2024,18,BI,1,230
CLM00000090,POL000486,2018,6,PD,1,230
CLM00000091,POL000492,2019,9,BI,0,5932.04
CLM00000092,POL000503,2021,4,PD,0,215961.26
CLM00000093,POL000503,2022,4,PD,0,80068.33
CLM00000094,POL000507,2020,1,PD,0,73434.52
CLM00000095,POL000508,2020,4,BI,0,200
CLM00000096,POL000508,2020,4,BI,1,230
CLM00000097,POL000508,2020,4,PD,0,965.91
CLM00000098,POL000512,2022,1,PD,0,2255.96
CLM00000099,POL000516,2024,4,BI,0,23218.95
