policy_id,year,exposure,payroll
POL000001,2022,0.656,1105067.18
POL000001,2023,0.714,1020007.84
POL000002,2020,0.701,3321514.37
POL000002,2021,0.832,3103676.07
POL000002,2022,0.602,3395586.31
POL000003,2019,0.818,4885365.12
POL000003,2020,0.6,4664618
POL000004,2018,0.693,2914759.71
POL000005,2019,0.764,3109150.78
POL000006,2022,0.964,3168648.9
POL000006,2023,0.67,2847936.46
POL000007,2021,0.684,248389.1
POL000007,2022,0.791,237596.12
POL000008,2019,0.776,3738481.33
POL000008,2020,0.633,4263347.75
POL000009,2018,0.695,355937.68
POL000009,2019,0.989,372583.11
POL000010,2018,0.886,1896815.02
POL000010,2019,0.896,2167960.48
POL000011,2023,0.958,1972978.15
POL000012,2022,0.633,4273382.82
POL000012,2023,0.852,4340819.49
POL000013,2018,0.752,1165483.45
POL000013,2019,0.889,1245292.39
POL000013,2020,0.943,1260562.2
POL000014,2021,0.96,2650210.03
POL000015,2018,0.985,2400499.93
POL000015,2019,0.646,2506463.84
POL000015,2020,0.991,2256123.14
POL000016,2022,0.889,10491949.22
POL000016,2023,0.905,10488389.36
POL000016,2024,0.714,11190105.29
POL000017,2023,0.648,2751806.69
POL000017,2024,0.932,2614744.81
POL000018,2018,0.869,1255661.59
POL000019,2018,0.763,2018250.42
POL000019,2019,0.947,2085216.05
POL000020,2022,0.821,2288055.66
POL000021,2022,0.777,283619.79
POL000021,2023,0.653,269546.29
POL000021,2024,0.827,255164.86
POL000022,2022,0.617,1831985.56
POL000022,2023,0.764,1900032.93
POL000023,2021,0.95,7486077.02
POL000024,2019,0.824,1108296.52
POL000024,2020,0.735,1043112.4
POL000025,2024,0.964,1221873.6
POL000026,2018,0.869,939021.55
POL000026,2019,0.622,922295.69
POL000027,2020,0.902,881425.33
POL000027,2021,0.896,925039.03
POL000028,2018,0.65,720086.19
POL000029,2018,0.65,3806588.59
POL000030,2022,0.791,4427305.93
POL000030,2023,0.639,4380554.02
POL000031,2023,0.689,1398487.14
POL000031,2024,0.828,1410110.85
POL000032,2021,0.61,6636378.8
POL000032,2022,0.708,6362268.23
POL000033,2021,0.935,438497.26
POL000034,2023,0.64,2153176.79
POL000034,2024,0.668,1974227.17
POL000035,2021,0.821,11307033.79
POL000036,2020,0.985,1461770.26
POL000037,2023,0.988,2019276.34
POL000038,2022,0.659,2451056.15
POL000038,2023,0.624,2324500.42
POL000038,2024,0.63,2177896.34
POL000039,2023,0.739,388349.36
POL000040,2022,0.897,663665.22
POL000041,2024,0.653,3308264.96
POL000042,2019,0.799,1863963.22
POL000042,2020,0.952,1934556.4
POL000043,2022,0.957,1095688.17
POL000044,2022,0.928,3084258.22
POL000044,2023,0.837,2869277.64
POL000044,2024,0.809,2750270.89
POL000045,2019,0.747,1668655.82
POL000045,2020,0.717,1604957.15
POL000046,2018,0.962,3660938.03
POL000046,2019,0.94,3719062.56
POL000046,2020,0.859,3937193.13
POL000047,2018,0.682,16281906.14
POL000047,2019,0.768,16463545.11
POL000047,2020,0.838,15792499.39
POL000048,2021,0.691,2745074.04
POL000049,2024,0.882,1582656.33
POL000050,2021,0.905,245435.36
POL000050,2022,0.825,250746.78
POL000051,2021,0.628,6032791.68
POL000052,2022,0.953,2588639.07
POL000053,2023,0.837,12298932.38
POL000053,2024,0.803,13019867.17
POL000054,2021,0.852,428189.17
POL000054,2022,0.737,384532.37
POL000055,2022,0.887,1644145.74
POL000056,2018,0.696,1464147.17
POL000056,2019,0.912,1394437.83
POL000056,2020,0.707,1383864.22
POL000057,2024,0.968,966421.7
POL000058,2023,0.676,2863216.63
POL000058,2024,0.873,2806302.7
POL000059,2018,0.766,6386981.37
POL000059,2019,0.882,5862617.66
POL000059,2020,0.891,6370853.03
POL000060,2019,0.759,2440470.47
POL000060,2020,0.844,2512884.91
POL000061,2020,0.924,1930667.35
POL000062,2021,0.811,1339471.62
POL000063,2021,0.613,248415.96
POL000063,2022,0.619,218148.05
