policy_id,insured_name,naics_code,naics_description,state,territory,employees,payroll,revenue,years_in_business,prior_claims,coverage_limit,deductible,latent_risk_factor,industry_risk_factor
POL000001,Insured COPSNZFB,452319,Retail,NY,Northeast,10,1069448.81,2671143.09,7,1,2e+06,25000,1.6537,1.05
POL000002,Insured PZGXKXHB,236220,Construction,PA,Northeast,38,3152000.15,5662018.18,4,3,2e+06,10000,0.9201,1.35
POL000003,Insured HQMSFEWL,236220,Construction,GA,South,53,4896756.57,7984590.28,4,0,2e+06,2500,1.3767,1.35
POL000004,Insured ESVHVNQZ,611110,Schools,PA,Northeast,46,3038723.45,13241427.75,13,3,1e+06,25000,0.8043,0.9
POL000005,Insured TCYRPUCE,452319,Retail,CA,West,43,3201969.05,9895678.18,21,2,1e+06,5000,0.8858,1.05
POL000006,Insured WUDTSAYY,812112,Beauty Salons,FL,South,38,2990199.44,12830334.42,28,0,2e+06,5000,0.9569,1.1
POL000007,Insured KAYOOMGS,541330,Engineering Services,IL,Midwest,2,233618.9,839225.69,16,1,1e+06,10000,1.0347,0.85
POL000008,Insured TQIJBGFU,621111,Physician Offices,TX,South,38,3913849.6,9467128.38,6,1,5e+06,1000,0.7997,0.95
POL000009,Insured HLIFAZKI,621111,Physician Offices,GA,South,3,340650.41,1506576.31,11,0,2e+06,1000,1.0404,0.95
POL000010,Insured ZGRNRCTK,452319,Retail,GA,South,24,1982282.21,5865039.72,7,0,2e+06,2500,1.2217,1.05
POL000011,Insured ZQPISMHK,812112,Beauty Salons,FL,South,35,1906422.34,8414548.68,75,1,1e+06,2500,0.6724,1.1
POL000012,Insured NJEUPYDL,621111,Physician Offices,CA,West,38,4190559.56,18838314.56,32,1,5e+06,1000,1.1537,0.95
POL000013,Insured DYGJBOCF,722511,Restaurants,TX,South,13,1191776.02,2452315.44,17,1,1e+06,5000,0.8426,1.15
POL000014,Insured HSKTZWUI,722511,Restaurants,PA,Northeast,23,2736300.47,4232495.5,16,0,5e+06,1000,1.0005,1.15
POL000015,Insured NONNFYAP,541330,Engineering Services,TX,South,36,2301378.58,4041727.38,17,1,2e+06,5000,0.8491,0.85
POL000016,Insured CRKGYKRN,812112,Beauty Salons,PA,Northeast,104,10475724.08,38426074.26,5,1,2e+06,2500,1.3275,1.1
POL000017,Insured VTDNKASA,452319,Retail,CA,West,57,2717169.32,5969865.02,8,0,2e+06,2500,1.605,1.05
POL000018,Insured WCHCCBTD,611110,Schools,NY,Northeast,11,1206149.95,2243354.04,12,0,1e+06,10000,1.2922,0.9
POL000019,Insured UBIRONZJ,236220,Construction,NC,South,43,2088801.5,4118593.93,3,2,2e+06,10000,0.7865,1.35
POL000020,Insured GLTBHXHT,621111,Physician Offices,FL,South,52,2355691.88,5146577.89,7,0,2e+06,10000,0.9973,0.95
POL000021,Insured LIDWDABW,722511,Restaurants,NC,South,6,266039.33,533775.61,9,1,2e+06,2500,0.8549,1.15
POL000022,Insured SLMKWCDY,611110,Schools,CA,West,27,1815861.34,7249375.27,18,1,1e+06,5000,1.4087,0.9
POL000023,Insured YPBXXFIX,722511,Restaurants,WA,West,67,7874861.31,33310513.36,27,1,2e+06,1000,0.759,1.15
POL000024,Insured JYZKSZJP,611110,Schools,GA,South,17,1050773.08,3686495.82,8,0,1e+06,2500,0.9108,0.9
POL000025,Insured ELKCSQUC,722511,Restaurants,IL,Midwest,27,1271185.86,5645586.8,9,1,5e+06,1000,1.7184,1.15
POL000026,Insured RQTXJCRF,452319,Retail,PA,Northeast,11,963457.59,1904463.6,5,1,2e+06,10000,0.9599,1.05
POL000027,Insured RXLQWZZW,452319,Retail,FL,South,11,877171.83,2541639.31,10,1,1e+06,5000,1.0817,1.05
POL000028,Insured FRKTBNIH,621111,Physician Offices,AZ,West,6,701969.18,3088858.84,45,2,2e+06,2500,1.6243,0.95
POL000029,Insured TFVQHHHD,452319,Retail,NY,Northeast,32,3780937.29,7452131.36,19,3,2e+06,2500,0.7395,1.05
POL000030,Insured SPSPUXTX,541330,Engineering Services,AZ,West,37,4136443.77,7847965.64,13,2,1e+06,2500,0.6303,0.85
POL000031,Insured DZXGRSRH,621111,Physician Offices,TX,South,17,1292472.87,3217768.05,9,1,1e+06,25000,0.9021,0.95
POL000032,Insured HVCLUHQM,541330,Engineering Services,NY,Northeast,50,6091463.31,14782634.22,4,1,2e+06,5000,1.0651,0.85
POL000033,Insured JKPLTRPW,541330,Engineering Services,WA,West,8,451378.55,2009585.01,15,1,1e+06,2500,1.0307,0.85
POL000034,Insured ZCFSPNQM,722511,Restaurants,NC,South,22,1980576.2,6696624.5,4,0,1e+06,10000,1.2095,1.15
POL000035,Insured GNMTKMUT,452319,Retail,NY,Northeast,97,10803439.78,38404220.23,16,2,2e+06,5000,1.0035,1.05
POL000036,Insured WYHQRJME,621111,Physician Offices,NY,Northeast,15,1445171,3860825.56,6,2,5e+06,1000,1.372,0.95
POL000037,Insured MOAHNRDE,722511,Restaurants,NC,South,22,1876563.4,7324263.66,9,1,1e+06,5000,0.9379,1.15
POL000038,Insured PPJYACVV,722511,Restaurants,CA,West,32,2249488.39,7194156.14,4,1,1e+06,2500,1.139,1.15
