model,risk_decile,avg_actual,avg_predicted,actual_total,predicted_total,exposure,calibration_ratio,actual_loss_ratio,predicted_loss_ratio
GAM,1,2162.04047297297,1456.68780977857,319981.99,215589.795847229,107.645,1.48421676797146,2972.56714199452,2002.78504201058
GAM,2,1813.06155405405,1996.99860274038,268333.11,295555.793205576,110.464,0.907893251185094,2429.14533241599,2675.58474440158
GAM,3,5674.67736486487,2434.74936914897,839852.25,360342.906634047,113.611,2.33070287922423,7392.34977246922,3171.72550751289
GAM,4,2049.43236486487,2816.46465583555,303315.99,416836.769063662,116.396,0.727661311360169,2605.89702395271,3581.1949642914
GAM,5,638.167837837838,3189.40266609424,94448.84,472031.594581948,119.782,0.200090081011734,788.506119450335,3940.75566096699
GAM,6,2733.24885135135,3687.99391467906,404520.83,545823.099372501,119.152,0.741120759574032,3394.99823754532,4580.89750379767
GAM,7,2007.52673469388,4320.03757122147,295106.43,635045.522969556,119.71,0.464701221134579,2465.17776292707,5304.86611786447
GAM,8,1661.88897959184,5012.95591564985,244297.68,736904.519600529,121.759,0.331518770074083,2006.40346914807,6052.15646975196
GAM,9,5757.79836734694,6042.21717710489,846396.36,888205.925034419,118.603,0.952928072357996,7136.38238493124,7488.89931143748
GAM,10,4858.54850340136,9484.89817246238,714206.63,1394280.03135197,128.748,0.512240449508171,5547.32213315935,10829.5276924843
GLM,1,1435.0077027027,1376.84823408782,212381.14,203773.538644998,107.556,1.0422410162391,1974.60987764513,1894.58085690243
GLM,2,3894.11391891892,1894.39591920367,576328.86,280370.596042144,112.019,2.055596657195,5144.92059382783,2502.88429679022
GLM,3,2131.06222972973,2322.49006177104,315397.21,343728.529142114,114.782,0.917576468811524,2747.79329511596,2994.62049051345
GLM,4,2565.1077027027,2734.04173730277,379635.94,404638.177120809,117.926,0.938210879411547,3219.27259467802,3431.28891949875
GLM,5,2894.91054054054,3184.00535127338,428446.76,471232.79198846,116.238,0.909204043700108,3685.94401142484,4054.03389587278
GLM,6,3109.04885135135,3733.05376342933,460139.23,552491.95698754,121.944,0.83284330962736,3773.3650692121,4530.70226487191
GLM,7,1120.20156462585,4425.86352872413,164669.63,650601.938722447,116.595,0.253103503385424,1412.3215403748,5580.0157701655
GLM,8,3200.04789115646,5203.20118575434,470407.04,764870.574305888,120.077,0.615015214079701,3917.5449086836,6369.83414230775
GLM,9,1853.5287755102,6535.96472060666,272468.73,960786.813929179,122.561,0.283589164682358,2223.12750385522,7839.25403618752
GLM,10,7146.8406122449,10515.2447575827,1050585.57,1545740.97936465,126.172,0.679664694166176,8326.61422502616,12251.0618787421
TweedieGBM,1,7494.35641891892,37.5258646534907,1109164.75,5553.82796871662,118.396,199.711758493,9368.26201898713,46.9089155775248
TweedieGBM,2,3439.87581081081,131.101505176441,509101.62,19403.0227661133,117.317,26.2382632921056,4339.53834482641,165.38969429932
TweedieGBM,3,2044.59344594595,246.451993581411,302599.83,36474.8950500488,118.166,8.29611242430689,2560.80285361271,308.675042313769
TweedieGBM,4,818.851351351351,364.768432823387,121190,53985.7280578613,116.012,2.24485256307204,1044.63331379512,465.346068146927
TweedieGBM,5,2677.26310810811,490.099464622704,396234.94,72534.7207641602,115.597,5.46269339463401,3427.72684412225,627.479266452937
TweedieGBM,6,2485.10094594595,667.448006294869,367794.94,98782.3049316406,119.509,3.72328769058914,3077.55014266708,826.567914815124
TweedieGBM,7,3117.85619047619,906.046977555671,458324.86,133188.905700684,120.378,3.44116394371463,3807.38058449218,1106.4223172065
TweedieGBM,8,1539.13088435374,1250.43346088435,226252.24,183813.71875,118.15,1.23087787755232,1914.95759627592,1555.76571096064
TweedieGBM,9,3334.24911564626,1862.23303803944,490134.62,273748.256591797,116.742,1.79045750319013,4198.44289116171,2344.89949282861
TweedieGBM,10,2378.65517006803,6540.4720666587,349662.31,961449.393798828,115.603,0.363682490472465,3024.68197192114,8316.82044409599
XGBoost,1,2688.23195945946,0,397858.33,0,117.598,397858330000,3383.2066021531,0
XGBoost,2,1740.85891891892,0,257647.12,0,117.189,257647120000,2198.56061575745,0
XGBoost,3,4410.91635135135,193.309984329585,652815.62,28609.8776807785,119.599,22.8178403027075,5458.37022048679,239.215024212397
XGBoost,4,1194.01337837838,808.115277676969,176713.98,119601.061096191,119.168,1.4775285301012,1482.89792561762,1003.63403846831
XGBoost,5,2700.21175675676,1535.87791814031,399631.34,227309.931884766,116.285,1.7580900961362,3436.65425463301,1954.76572115721
XGBoost,6,1946.97256756757,2216.29822024784,288151.94,328012.13659668,120.682,0.878479506855286,2387.69609386653,2717.98724413483
XGBoost,7,3917.60673469388,3145.32712518601,575888.19,462363.087402344,116.078,1.24553236556029,4961.21737107807,3983.21031894368
XGBoost,8,3223.0868707483,4593.55453470451,473793.77,675252.516601563,116.639,0.701654208390852,4062.05274393642,5789.25159339126
XGBoost,9,2367.28285714286,7355.93424811331,347990.58,1081322.33447266,116.78,0.321819469464403,2979.88165781812,9259.48222703079
XGBoost,10,5169.8587755102,23088.2851828231,759969.24,3393977.921875,115.852,0.223916966313133,6559.82840175396,29295.807770906
