model,risk_decile,total_claims,total_loss,predicted_loss,exposure,policy_count,loss_cost
GAM,1,14,319981.99,215589.795847229,107.645,148,2972.56714199452
GAM,2,14,268333.11,295555.793205576,110.464,148,2429.14533241599
GAM,3,17,839852.25,360342.906634047,113.611,148,7392.34977246922
GAM,4,16,303315.99,416836.769063662,116.396,148,2605.89702395271
GAM,5,12,94448.84,472031.594581948,119.782,148,788.506119450335
GAM,6,13,404520.83,545823.099372501,119.152,148,3394.99823754532
GAM,7,20,295106.43,635045.522969556,119.71,147,2465.17776292707
GAM,8,20,244297.68,736904.519600529,121.759,147,2006.40346914807
GAM,9,20,846396.36,888205.925034419,118.603,147,7136.38238493124
GAM,10,30,714206.63,1394280.03135197,128.748,147,5547.32213315935
GLM,1,11,212381.14,203773.538644998,107.556,148,1974.60987764513
GLM,2,19,576328.86,280370.596042144,112.019,148,5144.92059382783
GLM,3,14,315397.21,343728.529142114,114.782,148,2747.79329511596
GLM,4,16,379635.94,404638.177120809,117.926,148,3219.27259467802
GLM,5,15,428446.76,471232.79198846,116.238,148,3685.94401142484
GLM,6,14,460139.23,552491.95698754,121.944,148,3773.3650692121
GLM,7,18,164669.63,650601.938722447,116.595,147,1412.3215403748
GLM,8,19,470407.04,764870.574305888,120.077,147,3917.5449086836
GLM,9,24,272468.73,960786.813929179,122.561,147,2223.12750385522
GLM,10,26,1050585.57,1545740.97936465,126.172,147,8326.61422502616
TweedieGBM,1,9,1109164.75,5553.82796871662,118.396,148,9368.26201898713
TweedieGBM,2,19,509101.62,19403.0227661133,117.317,148,4339.53834482641
TweedieGBM,3,12,302599.83,36474.8950500488,118.166,148,2560.80285361271
TweedieGBM,4,11,121190,53985.7280578613,116.012,148,1044.63331379512
TweedieGBM,5,24,396234.94,72534.7207641602,115.597,148,3427.72684412225
TweedieGBM,6,25,367794.94,98782.3049316406,119.509,148,3077.55014266708
TweedieGBM,7,15,458324.86,133188.905700684,120.378,147,3807.38058449218
TweedieGBM,8,20,226252.24,183813.71875,118.15,147,1914.95759627592
TweedieGBM,9,20,490134.62,273748.256591797,116.742,147,4198.44289116171
TweedieGBM,10,21,349662.31,961449.393798828,115.603,147,3024.68197192114
XGBoost,1,15,397858.33,0,117.598,148,3383.2066021531
XGBoost,2,21,257647.12,0,117.189,148,2198.56061575745
XGBoost,3,13,652815.62,28609.8776807785,119.599,148,5458.37022048679
XGBoost,4,16,176713.98,119601.061096191,119.168,148,1482.89792561762
XGBoost,5,18,399631.34,227309.931884766,116.285,148,3436.65425463301
XGBoost,6,16,288151.94,328012.13659668,120.682,148,2387.69609386653
XGBoost,7,18,575888.19,462363.087402344,116.078,147,4961.21737107807
XGBoost,8,25,473793.77,675252.516601563,116.639,147,4062.05274393642
XGBoost,9,23,347990.58,1081322.33447266,116.78,147,2979.88165781812
XGBoost,10,11,759969.24,3393977.921875,115.852,147,6559.82840175396
