model,risk_decile,actual_loss,predicted_loss,exposure,actual_loss_cost,predicted_loss_cost
GAM,1,319981.99,215589.795847229,107.645,2972.56714199452,2002.78504201058
GAM,2,268333.11,295555.793205576,110.464,2429.14533241599,2675.58474440158
GAM,3,839852.25,360342.906634047,113.611,7392.34977246922,3171.72550751289
GAM,4,303315.99,416836.769063662,116.396,2605.89702395271,3581.1949642914
GAM,5,94448.84,472031.594581948,119.782,788.506119450335,3940.75566096699
GAM,6,404520.83,545823.099372501,119.152,3394.99823754532,4580.89750379767
GAM,7,295106.43,635045.522969556,119.71,2465.17776292707,5304.86611786447
GAM,8,244297.68,736904.519600529,121.759,2006.40346914807,6052.15646975196
GAM,9,846396.36,888205.925034419,118.603,7136.38238493124,7488.89931143748
GAM,10,714206.63,1394280.03135197,128.748,5547.32213315935,10829.5276924843
GLM,1,212381.14,203773.538644998,107.556,1974.60987764513,1894.58085690243
GLM,2,576328.86,280370.596042144,112.019,5144.92059382783,2502.88429679022
GLM,3,315397.21,343728.529142114,114.782,2747.79329511596,2994.62049051345
GLM,4,379635.94,404638.177120809,117.926,3219.27259467802,3431.28891949875
GLM,5,428446.76,471232.79198846,116.238,3685.94401142484,4054.03389587278
GLM,6,460139.23,552491.95698754,121.944,3773.3650692121,4530.70226487191
GLM,7,164669.63,650601.938722447,116.595,1412.3215403748,5580.0157701655
GLM,8,470407.04,764870.574305888,120.077,3917.5449086836,6369.83414230775
GLM,9,272468.73,960786.813929179,122.561,2223.12750385522,7839.25403618752
GLM,10,1050585.57,1545740.97936465,126.172,8326.61422502616,12251.0618787421
TweedieGBM,1,1109164.75,5553.82796871662,118.396,9368.26201898713,46.9089155775248
TweedieGBM,2,509101.62,19403.0227661133,117.317,4339.53834482641,165.38969429932
TweedieGBM,3,302599.83,36474.8950500488,118.166,2560.80285361271,308.675042313769
TweedieGBM,4,121190,53985.7280578613,116.012,1044.63331379512,465.346068146927
TweedieGBM,5,396234.94,72534.7207641602,115.597,3427.72684412225,627.479266452937
TweedieGBM,6,367794.94,98782.3049316406,119.509,3077.55014266708,826.567914815124
TweedieGBM,7,458324.86,133188.905700684,120.378,3807.38058449218,1106.4223172065
TweedieGBM,8,226252.24,183813.71875,118.15,1914.95759627592,1555.76571096064
TweedieGBM,9,490134.62,273748.256591797,116.742,4198.44289116171,2344.89949282861
TweedieGBM,10,349662.31,961449.393798828,115.603,3024.68197192114,8316.82044409599
XGBoost,1,397858.33,0,117.598,3383.2066021531,0
XGBoost,2,257647.12,0,117.189,2198.56061575745,0
XGBoost,3,652815.62,28609.8776807785,119.599,5458.37022048679,239.215024212397
XGBoost,4,176713.98,119601.061096191,119.168,1482.89792561762,1003.63403846831
XGBoost,5,399631.34,227309.931884766,116.285,3436.65425463301,1954.76572115721
XGBoost,6,288151.94,328012.13659668,120.682,2387.69609386653,2717.98724413483
XGBoost,7,575888.19,462363.087402344,116.078,4961.21737107807,3983.21031894368
XGBoost,8,473793.77,675252.516601563,116.639,4062.05274393642,5789.25159339126
XGBoost,9,347990.58,1081322.33447266,116.78,2979.88165781812,9259.48222703079
XGBoost,10,759969.24,3393977.921875,115.852,6559.82840175396,29295.807770906
